,quantile,sample,celltype,values
0,0,A0003,Central hep,0.007052066
1,0,A0003,Cholangiocyte,0.14994255
2,0,A0003,DC,0.010747979
3,0,A0003,Endo,0.023289183
4,0,A0003,Kupffer,0.01122113
5,0,A0003,Midzonal hep,0.1441681
6,0,A0003,Mono,0.02585448
7,0,A0003,Portal hep,0.0066083013
8,0,A0003,Stellate,0.4998028
9,0,A0101,Central hep,0.19943847
10,0,A0101,Cholangiocyte,0.069890745
11,0,A0101,DC,0.010715997
12,0,A0101,Endo,0.015546963
13,0,A0101,Kupffer,0.0075161536
14,0,A0101,Midzonal hep,0.15258126
15,0,A0101,Mono,0.005849617
16,0,A0101,Portal hep,0.018469967
17,0,A0101,Stellate,0.40061527
18,0,A0115,Central hep,0.062492173
19,0,A0115,Cholangiocyte,0.09609807
20,0,A0115,DC,0.041186463
21,0,A0115,Endo,0.02045476
22,0,A0115,Kupffer,0.024694
23,0,A0115,Midzonal hep,0.08529645
24,0,A0115,Mono,0.010745019
25,0,A0115,Portal hep,0.036324006
26,0,A0115,Stellate,0.44688913
27,0,A0129,Central hep,0.0060457014
28,0,A0129,Cholangiocyte,0.0780583
29,0,A0129,DC,0.0046895323
30,0,A0129,Endo,0.011339239
31,0,A0129,Kupffer,0.008806502
32,0,A0129,Midzonal hep,0.39324415
33,0,A0129,Mono,0.018743634
34,0,A0129,Portal hep,0.0069824774
35,0,A0129,Stellate,0.3726115
36,0,A0157_S56_L001,Central hep,0.0062236423
37,0,A0157_S56_L001,Cholangiocyte,0.15649897
38,0,A0157_S56_L001,DC,0.008594299
39,0,A0157_S56_L001,Endo,0.014769579
40,0,A0157_S56_L001,Kupffer,0.009133862
41,0,A0157_S56_L001,Midzonal hep,0.25517404
42,0,A0157_S56_L001,Mono,0.039635584
43,0,A0157_S56_L001,Portal hep,0.006437823
44,0,A0157_S56_L001,Stellate,0.40901557
45,0,A0171,Central hep,0.054350767
46,0,A0171,Cholangiocyte,0.04948886
47,0,A0171,DC,0.015908072
48,0,A0171,Endo,0.017068658
49,0,A0171,Kupffer,0.02318195
50,0,A0171,Midzonal hep,0.10253471
51,0,A0171,Mono,0.0139082465
52,0,A0171,Portal hep,0.09979521
53,0,A0171,Stellate,0.4356738
54,0,A0185_S54_L001,Central hep,0.02107103
55,0,A0185_S54_L001,Cholangiocyte,0.13345811
56,0,A0185_S54_L001,DC,0.0053568487
57,0,A0185_S54_L001,Endo,0.010159186
58,0,A0185_S54_L001,Kupffer,0.006152071
59,0,A0185_S54_L001,Midzonal hep,0.16566241
60,0,A0185_S54_L001,Mono,0.014506098
61,0,A0185_S54_L001,Portal hep,0.025332132
62,0,A0185_S54_L001,Stellate,0.42293018
63,0,A0199_S53_L001,Central hep,0.0007139205
64,0,A0199_S53_L001,Cholangiocyte,0.085608736
65,0,A0199_S53_L001,DC,0.018265316
66,0,A0199_S53_L001,Endo,0.016129682
67,0,A0199_S53_L001,Kupffer,0.0030606205
68,0,A0199_S53_L001,Midzonal hep,0.0122007355
69,0,A0199_S53_L001,Mono,0.1429009
70,0,A0199_S53_L001,Portal hep,0.0011427861
71,0,A0199_S53_L001,Stellate,0.5290759
72,0,A0213_S52_L001,Central hep,0.007964315
73,0,A0213_S52_L001,Cholangiocyte,0.16047399
74,0,A0213_S52_L001,DC,0.014097585
75,0,A0213_S52_L001,Endo,0.017357701
76,0,A0213_S52_L001,Kupffer,0.023523947
77,0,A0213_S52_L001,Midzonal hep,0.0030999484
78,0,A0213_S52_L001,Mono,0.058860794
79,0,A0213_S52_L001,Portal hep,0.0039439066
80,0,A0213_S52_L001,Stellate,0.5409217
81,0,A0227_S51_L001,Central hep,0.009826079
82,0,A0227_S51_L001,Cholangiocyte,0.109379545
83,0,A0227_S51_L001,DC,0.017928902
84,0,A0227_S51_L001,Endo,0.011924426
85,0,A0227_S51_L001,Kupffer,0.008936673
86,0,A0227_S51_L001,Midzonal hep,0.29646224
87,0,A0227_S51_L001,Mono,0.0284167
88,0,A0227_S51_L001,Portal hep,0.0084830085
89,0,A0227_S51_L001,Stellate,0.39188898
90,0,A0283,Central hep,0.0045518763
91,0,A0283,Cholangiocyte,0.0937548
92,0,A0283,DC,0.00700794
93,0,A0283,Endo,0.018638097
94,0,A0283,Kupffer,0.00823485
95,0,A0283,Midzonal hep,0.4209352
96,0,A0283,Mono,0.01408266
97,0,A0283,Portal hep,0.004791247
98,0,A0283,Stellate,0.3207303
99,0,RA0717.Liver_S10,Central hep,0.013119991
100,0,RA0717.Liver_S10,Cholangiocyte,0.100478336
101,0,RA0717.Liver_S10,DC,0.014602411
102,0,RA0717.Liver_S10,Endo,0.037902147
103,0,RA0717.Liver_S10,Kupffer,0.031666517
104,0,RA0717.Liver_S10,Midzonal hep,0.13257934
105,0,RA0717.Liver_S10,Mono,0.012796791
106,0,RA0717.Liver_S10,Portal hep,0.010299781
107,0,RA0717.Liver_S10,Stellate,0.49733534
108,0,RA0850.Liver_S11,Central hep,0.2715998
109,0,RA0850.Liver_S11,Cholangiocyte,0.060434613
110,0,RA0850.Liver_S11,DC,0.021907905
111,0,RA0850.Liver_S11,Endo,0.025253037
112,0,RA0850.Liver_S11,Kupffer,0.010467293
113,0,RA0850.Liver_S11,Midzonal hep,0.014455522
114,0,RA0850.Liver_S11,Mono,0.004659557
115,0,RA0850.Liver_S11,Portal hep,0.030429987
116,0,RA0850.Liver_S11,Stellate,0.45835927
117,0,RA1779.Liver_S7,Central hep,0.01982179
118,0,RA1779.Liver_S7,Cholangiocyte,0.16466506
119,0,RA1779.Liver_S7,DC,0.048024908
120,0,RA1779.Liver_S7,Endo,0.008810986
121,0,RA1779.Liver_S7,Kupffer,0.010613316
122,0,RA1779.Liver_S7,Midzonal hep,0.021626366
123,0,RA1779.Liver_S7,Mono,0.035304185
124,0,RA1779.Liver_S7,Portal hep,0.019363264
125,0,RA1779.Liver_S7,Stellate,0.47866648
126,1,A0003,Central hep,0.012355383
127,1,A0003,Cholangiocyte,0.16121513
128,1,A0003,DC,0.012807484
129,1,A0003,Endo,0.029047351
130,1,A0003,Kupffer,0.017976554
131,1,A0003,Midzonal hep,0.16460124
132,1,A0003,Mono,0.03489825
133,1,A0003,Portal hep,0.013183862
134,1,A0003,Stellate,0.51859814
135,1,A0101,Central hep,0.21904573
136,1,A0101,Cholangiocyte,0.07616418
137,1,A0101,DC,0.014874678
138,1,A0101,Endo,0.01838753
139,1,A0101,Kupffer,0.009879161
140,1,A0101,Midzonal hep,0.16049574
141,1,A0101,Mono,0.007933944
142,1,A0101,Portal hep,0.031734064
143,1,A0101,Stellate,0.42800465
144,1,A0115,Central hep,0.091556095
145,1,A0115,Cholangiocyte,0.107120134
146,1,A0115,DC,0.04614491
147,1,A0115,Endo,0.02426283
148,1,A0115,Kupffer,0.033210553
149,1,A0115,Midzonal hep,0.09778795
150,1,A0115,Mono,0.015060623
151,1,A0115,Portal hep,0.060725193
152,1,A0115,Stellate,0.47105587
153,1,A0129,Central hep,0.011533776
154,1,A0129,Cholangiocyte,0.08531553
155,1,A0129,DC,0.0064972886
156,1,A0129,Endo,0.014559165
157,1,A0129,Kupffer,0.01353308
158,1,A0129,Midzonal hep,0.41048688
159,1,A0129,Mono,0.0246092
160,1,A0129,Portal hep,0.0114475675
161,1,A0129,Stellate,0.39114696
162,1,A0157_S56_L001,Central hep,0.011489218
163,1,A0157_S56_L001,Cholangiocyte,0.16664141
164,1,A0157_S56_L001,DC,0.011293594
165,1,A0157_S56_L001,Endo,0.018126344
166,1,A0157_S56_L001,Kupffer,0.012611187
167,1,A0157_S56_L001,Midzonal hep,0.26854405
168,1,A0157_S56_L001,Mono,0.045348734
169,1,A0157_S56_L001,Portal hep,0.011098392
170,1,A0157_S56_L001,Stellate,0.42394382
171,1,A0171,Central hep,0.07843008
172,1,A0171,Cholangiocyte,0.05515028
173,1,A0171,DC,0.023373429
174,1,A0171,Endo,0.020376248
175,1,A0171,Kupffer,0.028917007
176,1,A0171,Midzonal hep,0.12570736
177,1,A0171,Mono,0.01880956
178,1,A0171,Portal hep,0.11496445
179,1,A0171,Stellate,0.48296914
180,1,A0185_S54_L001,Central hep,0.044609036
181,1,A0185_S54_L001,Cholangiocyte,0.14758885
182,1,A0185_S54_L001,DC,0.01099324
183,1,A0185_S54_L001,Endo,0.014723849
184,1,A0185_S54_L001,Kupffer,0.008309488
185,1,A0185_S54_L001,Midzonal hep,0.18416053
186,1,A0185_S54_L001,Mono,0.020442195
187,1,A0185_S54_L001,Portal hep,0.043911092
188,1,A0185_S54_L001,Stellate,0.46157712
189,1,A0199_S53_L001,Central hep,0.0019491655
190,1,A0199_S53_L001,Cholangiocyte,0.11142419
191,1,A0199_S53_L001,DC,0.03219454
192,1,A0199_S53_L001,Endo,0.0264381
193,1,A0199_S53_L001,Kupffer,0.006542892
194,1,A0199_S53_L001,Midzonal hep,0.021946445
195,1,A0199_S53_L001,Mono,0.16873263
196,1,A0199_S53_L001,Portal hep,0.0018766887
197,1,A0199_S53_L001,Stellate,0.5668107
198,1,A0213_S52_L001,Central hep,0.011708735
199,1,A0213_S52_L001,Cholangiocyte,0.17716889
200,1,A0213_S52_L001,DC,0.021647597
201,1,A0213_S52_L001,Endo,0.02776012
202,1,A0213_S52_L001,Kupffer,0.03448483
203,1,A0213_S52_L001,Midzonal hep,0.0075154616
204,1,A0213_S52_L001,Mono,0.07162304
205,1,A0213_S52_L001,Portal hep,0.009602359
206,1,A0213_S52_L001,Stellate,0.58661336
207,1,A0227_S51_L001,Central hep,0.021517882
208,1,A0227_S51_L001,Cholangiocyte,0.11586617
209,1,A0227_S51_L001,DC,0.022266556
210,1,A0227_S51_L001,Endo,0.015312193
211,1,A0227_S51_L001,Kupffer,0.013487009
212,1,A0227_S51_L001,Midzonal hep,0.31055498
213,1,A0227_S51_L001,Mono,0.034085087
214,1,A0227_S51_L001,Portal hep,0.01833294
215,1,A0227_S51_L001,Stellate,0.4067882
216,1,A0283,Central hep,0.011416413
217,1,A0283,Cholangiocyte,0.10126272
218,1,A0283,DC,0.010579307
219,1,A0283,Endo,0.022675
220,1,A0283,Kupffer,0.013540704
221,1,A0283,Midzonal hep,0.43394408
222,1,A0283,Mono,0.018697094
223,1,A0283,Portal hep,0.011693846
224,1,A0283,Stellate,0.34658894
225,1,RA0717.Liver_S10,Central hep,0.024132889
226,1,RA0717.Liver_S10,Cholangiocyte,0.11098391
227,1,RA0717.Liver_S10,DC,0.019735094
228,1,RA0717.Liver_S10,Endo,0.04425797
229,1,RA0717.Liver_S10,Kupffer,0.03505644
230,1,RA0717.Liver_S10,Midzonal hep,0.14331645
231,1,RA0717.Liver_S10,Mono,0.016199296
232,1,RA0717.Liver_S10,Portal hep,0.026445026
233,1,RA0717.Liver_S10,Stellate,0.5342862
234,1,RA0850.Liver_S11,Central hep,0.28422526
235,1,RA0850.Liver_S11,Cholangiocyte,0.06879503
236,1,RA0850.Liver_S11,DC,0.02710773
237,1,RA0850.Liver_S11,Endo,0.028855858
238,1,RA0850.Liver_S11,Kupffer,0.014718136
239,1,RA0850.Liver_S11,Midzonal hep,0.01976085
240,1,RA0850.Liver_S11,Mono,0.006531841
241,1,RA0850.Liver_S11,Portal hep,0.043339927
242,1,RA0850.Liver_S11,Stellate,0.47625405
243,1,RA1779.Liver_S7,Central hep,0.041608814
244,1,RA1779.Liver_S7,Cholangiocyte,0.17796023
245,1,RA1779.Liver_S7,DC,0.056587543
246,1,RA1779.Liver_S7,Endo,0.01324091
247,1,RA1779.Liver_S7,Kupffer,0.014545919
248,1,RA1779.Liver_S7,Midzonal hep,0.028417155
249,1,RA1779.Liver_S7,Mono,0.039828137
250,1,RA1779.Liver_S7,Portal hep,0.04480666
251,1,RA1779.Liver_S7,Stellate,0.51529914
252,2,A0003,Central hep,0.014304504
253,2,A0003,Cholangiocyte,0.16575032
254,2,A0003,DC,0.014695491
255,2,A0003,Endo,0.031023692
256,2,A0003,Kupffer,0.021715637
257,2,A0003,Midzonal hep,0.16828075
258,2,A0003,Mono,0.037324578
259,2,A0003,Portal hep,0.015896777
260,2,A0003,Stellate,0.5276229
261,2,A0101,Central hep,0.22557774
262,2,A0101,Cholangiocyte,0.07947439
263,2,A0101,DC,0.016836671
264,2,A0101,Endo,0.019713383
265,2,A0101,Kupffer,0.011101611
266,2,A0101,Midzonal hep,0.16601938
267,2,A0101,Mono,0.009197385
268,2,A0101,Portal hep,0.03693345
269,2,A0101,Stellate,0.43373677
270,2,A0115,Central hep,0.1009501
271,2,A0115,Cholangiocyte,0.11209714
272,2,A0115,DC,0.049673874
273,2,A0115,Endo,0.026054896
274,2,A0115,Kupffer,0.034922414
275,2,A0115,Midzonal hep,0.10274476
276,2,A0115,Mono,0.017020058
277,2,A0115,Portal hep,0.07210131
278,2,A0115,Stellate,0.48170847
279,2,A0129,Central hep,0.015118863
280,2,A0129,Cholangiocyte,0.0886122
281,2,A0129,DC,0.008102742
282,2,A0129,Endo,0.015955366
283,2,A0129,Kupffer,0.016187
284,2,A0129,Midzonal hep,0.4155196
285,2,A0129,Mono,0.026046745
286,2,A0129,Portal hep,0.0155346105
287,2,A0129,Stellate,0.39621034
288,2,A0157_S56_L001,Central hep,0.014920237
289,2,A0157_S56_L001,Cholangiocyte,0.16931017
290,2,A0157_S56_L001,DC,0.012988761
291,2,A0157_S56_L001,Endo,0.019762088
292,2,A0157_S56_L001,Kupffer,0.014739316
293,2,A0157_S56_L001,Midzonal hep,0.2731015
294,2,A0157_S56_L001,Mono,0.048261628
295,2,A0157_S56_L001,Portal hep,0.014469409
296,2,A0157_S56_L001,Stellate,0.42970818
297,2,A0171,Central hep,0.09039311
298,2,A0171,Cholangiocyte,0.058186136
299,2,A0171,DC,0.025515864
300,2,A0171,Endo,0.022482084
301,2,A0171,Kupffer,0.031946868
302,2,A0171,Midzonal hep,0.13223127
303,2,A0171,Mono,0.020938873
304,2,A0171,Portal hep,0.12455184
305,2,A0171,Stellate,0.4932229
306,2,A0185_S54_L001,Central hep,0.053824544
307,2,A0185_S54_L001,Cholangiocyte,0.15380721
308,2,A0185_S54_L001,DC,0.013651756
309,2,A0185_S54_L001,Endo,0.016995188
310,2,A0185_S54_L001,Kupffer,0.009932233
311,2,A0185_S54_L001,Midzonal hep,0.19020599
312,2,A0185_S54_L001,Mono,0.022748573
313,2,A0185_S54_L001,Portal hep,0.055122346
314,2,A0185_S54_L001,Stellate,0.47350186
315,2,A0199_S53_L001,Central hep,0.002776815
316,2,A0199_S53_L001,Cholangiocyte,0.11781171
317,2,A0199_S53_L001,DC,0.038592674
318,2,A0199_S53_L001,Endo,0.028900277
